;Random Forest;feature_namesRandom Forest;¡rvore de decis„o;feature_names¡rvore de decis„o
0;0.04346309108023731;Q001_A;0.04449815433668155;Q001_A
1;0.011274692870737889;Q001_B;0.01100050885653823;Q001_B
2;0.0032086976418275953;Q001_C;0.0031635981123694745;Q001_C
3;0.013723699887722849;Q001_D;0.013855831516888597;Q001_D
4;0.01664216988835935;Q001_E;0.015285635193168811;Q001_E
5;0.005181794739214355;Q001_F;0.0053878899550535075;Q001_F
6;0.0014792937162731795;Q001_G;0.0017689583149267316;Q001_G
7;0.12438091338027213;Q001_H;0.1272552933750751;Q001_H
8;0.08787948645342147;Q002_A;0.08410356470658545;Q002_A
9;0.31186335364562645;Q002_B;0.31594884539034496;Q002_B
10;0.07556954269748468;Q002_C;0.07492384021255186;Q002_C
11;0.022166747945335585;Q002_D;0.02334633646690699;Q002_D
12;0.004273113284123266;Q002_E;0.0040258033436496345;Q002_E
13;0.005136309239671383;Q002_F;0.00569679244221866;Q002_F
14;0.004501069950815233;Q002_G;0.004201229017631156;Q002_G
15;0.0037552320933204875;Q002_H;0.004483445881143448;Q002_H
16;0.004534060773417474;Q003_A;0.0036326234067545786;Q003_A
17;0.002049430323437078;Q003_B;0.002348668253810828;Q003_B
18;0.0011990227650578058;Q003_C;0.0012606573609573542;Q003_C
19;0.003685721557396936;Q003_D;0.0037764047647493044;Q003_D
20;0.003386158768969192;Q003_E;0.0033018778755319724;Q003_E
21;0.00480291366095193;Q003_F;0.00494750141631651;Q003_F
22;0.0045772662991598635;Q004_A;0.004270789450462663;Q004_A
23;0.004127329760471337;Q004_B;0.004012348838424981;Q004_B
24;0.005263706498358413;Q004_C;0.004041574612848449;Q004_C
25;0.0028061870755894842;Q004_D;0.003235612609247482;Q004_D
26;0.0027290410747654674;Q004_E;0.002077197028588468;Q004_E
27;0.0028954493895520903;Q004_F;0.002154321122379647;Q004_F
28;0.004042423324640477;Q006_A;0.003897092527564973;Q006_A
29;0.004932963736070784;Q006_B;0.004350978924822581;Q006_B
30;0.004308987469741678;Q006_C;0.004108169188463952;Q006_C
31;0.003259742050983159;Q006_D;0.0031929374917796243;Q006_D
32;0.00125945753635687;Q006_E;0.0008497992627466071;Q006_E
33;0.004023382260279465;Q006_F;0.0042144029383408355;Q006_F
34;0.0036376651139058995;Q006_G;0.003614931062198729;Q006_G
35;0.004928999926553067;Q006_H;0.00498551983824229;Q006_H
36;0.0032692788026264124;Q006_I;0.002896060221918581;Q006_I
37;0.003447764731379921;Q006_J;0.003927899039633967;Q006_J
38;0.0010384298096114994;Q006_K;0.0010906386997690117;Q006_K
39;0.003757256609679406;Q006_L;0.004348497157417932;Q006_L
40;0.0031093736455621327;Q006_M;0.0025688445774888265;Q006_M
41;0.005323578936343537;Q006_N;0.0061222781815832225;Q006_N
42;0.00493764177750648;Q006_O;0.00497387701615471;Q006_O
43;0.003346481722658344;Q006_P;0.0027384336024468634;Q006_P
44;0.002657401156042631;Q006_Q;0.002610940959530287;Q006_Q
45;0.002585970585919787;Q007_A;0.0019103912847881872;Q007_A
46;0.002020057924711638;Q007_B;0.0020081956919027295;Q007_B
47;0.0015895594354936784;Q007_C;0.001979689342581693;Q007_C
48;0.0009984154297699595;Q007_D;0.0011548723351345628;Q007_D
49;0.0008739598925411101;Q008_A;0.0007530171838366926;Q008_A
50;0.0005485402875305783;Q008_B;0.0004946563299156779;Q008_B
51;0.0006711406709660769;Q008_C;0.00045033229660376733;Q008_C
52;0.00025993455531397815;Q008_D;0.00019499183851667072;Q008_D
53;0.0005946040837549176;Q008_E;0.0006054279483651262;Q008_E
54;0.0004688246622131755;Q009_A;0.00048781214705537435;Q009_A
55;0.0004723403001964131;Q009_B;0.0005460136906370944;Q009_B
56;0.00029494518685624344;Q009_C;4.389391248236087e-05;Q009_C
57;0.0014955644383090627;Q009_D;0.0010842701544677739;Q009_D
58;0.0014574897073148124;Q009_E;0.0012337411484822447;Q009_E
59;0.0005421280176244948;Q010_A;0.0007333583909665548;Q010_A
60;0.0011459288428278874;Q010_B;0.001097296407356852;Q010_B
61;0.000971665362446863;Q010_C;0.001291255246221216;Q010_C
62;0.0027842919263628774;Q010_D;0.0024265595062876832;Q010_D
63;0.002976057495476818;Q010_E;0.0025992374578546187;Q010_E
64;0.001084427767783872;Q011_A;0.0013598217419425614;Q011_A
65;0.0005344909515576022;Q011_B;0.0008343668085146526;Q011_B
66;0.0009298281467333121;Q011_C;0.001033516955989263;Q011_C
67;0.003273615492455579;Q011_D;0.0030160330311926795;Q011_D
68;0.004441059398569086;Q011_E;0.004176703214209845;Q011_E
69;0.004455895333249511;Q012_A;0.004646032864392077;Q012_A
70;0.001697572157175584;Q012_B;0.0019635489193166257;Q012_B
71;0.0029155731658058962;Q012_C;0.0029566725636839043;Q012_C
72;0.002711380317281487;Q012_D;0.002525141227587795;Q012_D
73;0.0010809202880911507;Q012_E;0.000987563454651972;Q012_E
74;0.00037725888715964826;Q013_A;0.0002351933587858286;Q013_A
75;6.833492565099021e-05;Q013_B;9.381977178063196e-05;Q013_B
76;0.0032198246238260356;Q013_C;0.0024634193001724877;Q013_C
77;0.0030225942228279427;Q013_D;0.003218300914861964;Q013_D
78;0.001056291591042208;Q013_E;0.0007912082434559651;Q013_E
79;9.359244954475264e-05;Q014_A;0.00010313584367301235;Q014_A
80;4.846201973896689e-06;Q014_B;0.0;Q014_B
81;0.0014443722913029158;Q014_C;0.0015908608398041357;Q014_C
82;0.001448427921016736;Q014_D;0.0015980484326728853;Q014_D
