;Random Forest;feature_namesRandom Forest;¡rvore de decis„o;feature_names¡rvore de decis„o
0;0.030329664555088343;Q001_A;0.03127672724069263;Q001_A
1;0.02226458070504609;Q001_B;0.022016978119337345;Q001_B
2;0.003209898975354241;Q001_C;0.0030526539081099846;Q001_C
3;0.011755367453785522;Q001_D;0.012039214324299335;Q001_D
4;0.015156996101083106;Q001_E;0.01417812149129422;Q001_E
5;0.0036936929613253554;Q001_F;0.0035441153882134688;Q001_F
6;0.0012612540090232026;Q001_G;0.001118746921734328;Q001_G
7;0.13654666767896476;Q001_H;0.1358233811521193;Q001_H
8;0.3225013696322077;Q002_A;0.3235583796897862;Q002_A
9;0.12810069928485743;Q002_B;0.12302095253112581;Q002_B
10;0.04650044537719353;Q002_C;0.04318152762423184;Q002_C
11;0.019062261665807656;Q002_D;0.018716497928421155;Q002_D
12;0.003096854046854778;Q002_E;0.0030163802641001753;Q002_E
13;0.004522790597337913;Q002_F;0.004524458433025597;Q002_F
14;0.0041950512206932215;Q002_G;0.003861403284771591;Q002_G
15;0.003334780821940208;Q002_H;0.0038974460586289335;Q002_H
16;0.004033300238067199;Q003_A;0.0048815760150826126;Q003_A
17;0.0021304156588147537;Q003_B;0.002351998463252615;Q003_B
18;0.0013398270153726678;Q003_C;0.0010531336835790097;Q003_C
19;0.0026192525046501336;Q003_D;0.002969010513711804;Q003_D
20;0.0027822289780463872;Q003_E;0.0019355092937565898;Q003_E
21;0.004450142960289851;Q003_F;0.004455009825471997;Q003_F
22;0.003852135133421032;Q004_A;0.004229621475218355;Q004_A
23;0.0035852798534157793;Q004_B;0.0038077848104359833;Q004_B
24;0.004653135803989703;Q004_C;0.00453505850127567;Q004_C
25;0.003036346583025847;Q004_D;0.0026713099486500172;Q004_D
26;0.0024393405116122776;Q004_E;0.0025478986638910127;Q004_E
27;0.001194780508888207;Q004_F;0.0015978702295987308;Q004_F
28;0.003720481534954987;Q006_A;0.0035727007383040015;Q006_A
29;0.004491879599132174;Q006_B;0.003994803979593593;Q006_B
30;0.004212057329458925;Q006_C;0.004398903383996922;Q006_C
31;0.003783732352325306;Q006_D;0.0035921771710488754;Q006_D
32;0.0014743306524446205;Q006_E;0.0016391157151441245;Q006_E
33;0.003153736848403716;Q006_F;0.003643756554023446;Q006_F
34;0.0035092944005777347;Q006_G;0.0042503677981328095;Q006_G
35;0.004792383338003441;Q006_H;0.0045496329209755;Q006_H
36;0.0025036337411149506;Q006_I;0.002084783644026663;Q006_I
37;0.0036434975919211222;Q006_J;0.004143542103675364;Q006_J
38;0.0010361178978234302;Q006_K;0.0008049219431004044;Q006_K
39;0.003022309082635564;Q006_L;0.0029210457044348066;Q006_L
40;0.0022271791586653857;Q006_M;0.0023659237939943362;Q006_M
41;0.004738666693608153;Q006_N;0.005374551306148378;Q006_N
42;0.004643333260537478;Q006_O;0.004029308330827031;Q006_O
43;0.003160992277757302;Q006_P;0.003840765076292885;Q006_P
44;0.0025371070399531426;Q006_Q;0.0021705809183317284;Q006_Q
45;0.001941175669022601;Q007_A;0.0018715030699220283;Q007_A
46;0.0022260430697858824;Q007_B;0.0023690999327370577;Q007_B
47;0.001463512488192284;Q007_C;0.001207367977315468;Q007_C
48;0.0013269779695294763;Q007_D;0.00167604739978494;Q007_D
49;0.0009547700506959876;Q008_A;0.0008172106691299785;Q008_A
50;0.0005772503735335373;Q008_B;0.000736562748410886;Q008_B
51;0.0004238813238014754;Q008_C;0.00045535080439983644;Q008_C
52;0.00023680074673935588;Q008_D;0.00021023579585291143;Q008_D
53;0.0007255604475598465;Q008_E;0.0012353867369750396;Q008_E
54;0.00045702037251796107;Q009_A;0.0003808848945846624;Q009_A
55;0.00029539715086980485;Q009_B;0.00034710294825729637;Q009_B
56;0.0004801473027833991;Q009_C;0.0004136479954867514;Q009_C
57;0.002111268570533253;Q009_D;0.0033662712936446053;Q009_D
58;0.0011921958302362075;Q009_E;0.0013532226431784962;Q009_E
59;0.00029014155179379723;Q010_A;0.00032090783759343043;Q010_A
60;0.000731373995476992;Q010_B;0.001074349281353425;Q010_B
61;0.0003313132142008198;Q010_C;0.00032314085232345945;Q010_C
62;0.00284609330084829;Q010_D;0.0036561826838561458;Q010_D
63;0.0030189052512927944;Q010_E;0.002968297082083458;Q010_E
64;0.0011177064920114609;Q011_A;0.0013380275126071682;Q011_A
65;0.0006061934117841404;Q011_B;0.000527304199707192;Q011_B
66;0.0003752746002416289;Q011_C;0.0003933199994555578;Q011_C
67;0.002200791016702007;Q011_D;0.0023383709026260145;Q011_D
68;0.004289660540460336;Q011_E;0.004032428804351714;Q011_E
69;0.003522428480919996;Q012_A;0.004023470583118308;Q012_A
70;0.0014237180275922614;Q012_B;0.0012661916651399568;Q012_B
71;0.00364448098252115;Q012_C;0.0034416828459640537;Q012_C
72;0.002623283574575841;Q012_D;0.0030035908398589415;Q012_D
73;0.0013203971375822332;Q012_E;0.0016757595975412432;Q012_E
74;0.00038979729706034057;Q013_A;0.00027328632859545545;Q013_A
75;3.421137436564349e-05;Q013_B;4.738359991442745e-07;Q013_B
76;0.0029236309942399764;Q013_C;0.0033428867293398418;Q013_C
77;0.00267831514288777;Q013_D;0.002659740678222748;Q013_D
78;0.0005735343144663253;Q013_E;0.0009699166363959025;Q013_E
79;0.00012603318088726177;Q014_A;1.729150550989727e-05;Q014_A
80;0.0;Q014_B;9.861237606349914e-06;Q014_B
81;0.0008835259204718378;Q014_C;0.0010329102608844772;Q014_C
82;0.00127797386357821;Q014_D;0.0012399601834430188;Q014_D
